Delay,Repeat,Score,Error
0,10,0.004,0.001
0,100,0.029,0.001
0,1000,0.309,0.002
0,10000,3.075,0.051
0,100000,28.804,0.606
10,10,15.790,0.175
10,100,15.797,0.160
10,1000,15.887,0.238
10,10000,31.248,0.252
10,100000,82.336,2.930
100,10,109.239,0.590
100,100,109.279,0.549
100,1000,109.266,0.755
100,10000,124.876,0.785
100,100000,187.111,0.916
