Delay,Repeat,Score,Error
0,10,0.043,0.001
0,100,0.082,0.001
0,1000,0.497,0.004
0,10000,4.762,0.047
0,100000,57.419,1.222
10,10,15.767,0.203
10,100,15.860,0.239
10,1000,17.388,0.151
10,10000,30.941,0.409
10,100000,140.284,3.431
100,10,109.372,1.342
100,100,109.249,0.480
100,1000,111.325,1.442
100,10000,130.460,2.059
100,100000,196.965,2.215
